entity,code,GPDpc1950,GPDpc1951,GPDpc1952,GPDpc1953,GPDpc1954,GPDpc1955,GPDpc1956,GPDpc1957,GPDpc1958,GPDpc1959,GPDpc1960,GPDpc1961,GPDpc1962,GPDpc1963,GPDpc1964,GPDpc1965,GPDpc1966,GPDpc1967,GPDpc1968,GPDpc1969,GPDpc1970,GPDpc1971,GPDpc1972,GPDpc1973,GPDpc1974,GPDpc1975,GPDpc1976,GPDpc1977,GPDpc1978,GPDpc1979,GPDpc1980,GPDpc1981,GPDpc1982,GPDpc1983,GPDpc1984,GPDpc1985,GPDpc1986,GPDpc1987,GPDpc1988,GPDpc1989,GPDpc1990,GPDpc1991,GPDpc1992,GPDpc1993,GPDpc1994,GPDpc1995,GPDpc1996,GPDpc1997,GPDpc1998,GPDpc1999,GPDpc2000,GPDpc2001,GPDpc2002,GPDpc2003,GPDpc2004,GPDpc2005,GPDpc2006,GPDpc2007,GPDpc2008,GPDpc2009,GPDpc2010,GPDpc2011,GPDpc2012,GPDpc2013,GPDpc2014,GPDpc2015,GPDpc2016,GPDpc2017,GPDpc2018,GPDpc2019,population,pop2019,pop1960,oecd,growth2011_1960,growth2019_1960,GDPpc1960relusa
Algeria,DZA,,,,,,,,,,,10835.013,9263.0254,5283.8633,5965.9473,6087.3784,6427.353,5564.5327,6055.4468,6584.9878,7002.0762,7780.0508,7244.3037,7996.2715,8360.6826,10072.163,10468.854,10315.068,11288.917,12233.291,12602.791,12254.745,13108.504,13264.293,13552.555,13698.406,13826.624,11472.412,10669.394,9404.0029,9448.0479,9721.9043,9304.2363,9052.3066,8473.165,8359.7842,8597.4355,8914.0967,8496.6299,8693.3516,8883.0313,9704.585,9655.7969,9881.3096,10634.918,11033.535,12356.633,13424.695,13692.437,14433.803,13045.797,14808.767,15523.892,14968.809,14278.215,13804.14,12512.007,11854.604,11408.486,11773.642,11787.492,25074241.31666667,43294552,11424930,0,.70758462,.14290909,-.56583297
Australia,AUS,13660.783,12852.69,12414.002,13721.202,14403.238,14775.68,14648.062,14427.618,15258.624,15906.9,15799.374,15902.039,16466.982,17306.359,17813.994,17704.107,18576.498,19066.344,20122.676,21175.375,21518.926,21941.418,22277.465,22948.756,21840.594,22008.213,22727.477,22889.639,23694.227,24184.785,24692.652,25480.332,24547.381,25622.756,26227.945,26544.85,26864.248,28604.322,29805.865,30357.975,29933.852,29537.359,30333.725,31075.063,32160.309,33466.836,34960.195,36290.953,37137.207,38633.941,39331.898,40172.168,40712.246,41971.691,42933.586,45488.262,45679.094,46090.77,47621.637,46605.594,50222.52,52136.227,51097.926,52768.602,51919.355,48712.191,51497.211,52536.191,54236.766,54147.008,17140061.23333333,25482714,10280815,0,2.3685758,2.1096265,-.18864547
Austria,AUT,5959.9639,6260.6289,6441.9858,6779.6313,7251.4297,7942.9365,8520.835,8950.7988,9287.7939,9567.0605,10212.926,10715.418,10950.802,11330.011,11792.524,12086.681,12608.718,12899.655,13388.819,14010.392,14843.678,15571.182,16431.865,17192.137,17746.287,17835.41,18282.678,19062.727,19019.252,19822.383,20080.336,20037.82,20134.324,20551.975,20423.42,20841.471,21803.77,22667.035,24061.92,25263.441,26615.162,27652.299,28590.305,28989.445,30206.715,31342.947,31967.035,33539.09,34845.543,36093.906,38036.566,37042.785,37653.426,38394.566,39732.598,43298.789,43980.133,45328.258,46818.813,44564.949,45806.348,47593.109,48182.363,47261.828,49125.188,49618.703,49865.789,51954.277,52968.191,53344.508,7845322.933333334,8880875,7047274,1,3.0637078,2.8415153,-.62496161
Bangladesh,BGD,,,,,,,,,,1483.043,1563.2533,1521.7603,1580.8969,1646.4865,1604.167,1553.0166,1536.9905,1453.7062,1469.769,1502.0055,1566.8899,1518.9908,1427.8574,1198.7164,1205.3618,1141.5897,1265.2644,1324.5385,1327.3186,1372.1932,1333.4319,1325.1575,1288.6855,1280.0214,1369.7687,1393.2859,1390.7646,1360.6252,1383.9873,1502.3505,1531.382,1553.5822,1562.9657,1568.4761,1607.5397,1648.079,1660.2803,1623.2451,1577.4174,1499.0077,1520.2449,1535.8394,1588.2731,1606.8379,1621.7179,1666.4171,1793.9163,1978.3098,2193.2632,2353.637,2650.6636,3030.0151,3113.8965,3260.8838,3453.2925,3714.8008,3833.7283,4112.7041,4428.1455,4658.0098,109787417.7833333,164913056,51828664,0,1.3061001,1.8677696,-2.5018468
Barbados,BRB,,,,,,,,,,,9351.6025,9709.2695,10035.758,9852.2832,9764.1328,10169.499,10697.431,11741.524,12114.932,13965.378,15426.246,15870.721,16074.323,15523.233,13959.357,16529.906,12990.9,13091.374,12431.065,13022.744,12789.05,12660.261,12830.858,13217.297,13541.944,11801.507,13744.875,14967.196,15623.32,16818.102,15811.569,16659.279,12578.095,13225.763,21747.504,23666.096,25243.859,23422.648,24377.67,24084.865,23597.746,23029.361,22733.799,20911.803,21595.09,22032.338,20567.945,21718.01,19940.24,17594.641,16825.586,15311.92,14260.479,13108.818,13087.195,12689.137,12570.785,11801.709,12009.456,12217.291,259059.2833333333,281216,230901,0,.97152007,.45408636,-.71306807
Belgium,BEL,8348.5654,8653.7539,8795.9609,9025.4551,9392.5059,9757.8594,9976.8291,10074.675,9884.4404,10124.746,10628.077,11145.608,11681.076,12054.987,12765.856,13103.903,13376.343,13816.649,14354.845,15203.515,16048.811,16628.863,17589.055,18764.482,19571.904,19349.268,20569.395,20845.205,21623.287,22274.781,23806.789,22679.863,21934.953,21274.961,21207.998,20143.088,21584.131,22772.012,24514.705,25045.986,26114.314,26425.402,27306.836,27369.021,27974.865,29060.271,28905.15,30190.76,30345.209,31710.693,33739.328,33801.445,34587.23,35921.406,36637.98,40701.172,39286.82,40197.406,43370.988,41608.609,44733.914,44285.629,44366.012,43980.91,43960.465,42891.355,43413.094,45150.195,44205.297,44839.68,10134074.56666667,11490622,9102170,1,2.8378766,2.4700015,-.58511651
Benin,BEN,,,,,,,,,,1670.0013,1780.014,1762.4698,1676.5664,1731.4055,1785.8787,1889.0535,1894.155,1921.2375,2021.4348,2049.9126,2198.1885,2200.1953,2248.6516,2356.9912,2502.5947,2079.8105,2178.125,2195.0767,2077.0554,2118.9001,2214.1563,2724.9905,1909.6669,1824.89,1882.8116,2021.0591,1716.2102,1542.1,1542.7927,1352.494,1348.4304,1372.9437,1370.6992,1360.4703,1231.7274,1316.4723,1341.8204,1440.5328,1464.8466,1558.879,1695.3029,1762.793,1888.796,1952.2593,2025.2596,2065.6758,2058.9084,2123.7813,2125.9502,2070.7388,2078.012,2160.3459,2384.7007,2567.6763,2831.6736,3072.4944,3162.4331,3071.0347,3118.2515,3245.0645,6055081.35,12726761,2517290,0,.380422,1.0230176,-2.3719945
Bolivia,BOL,2430.7229,2579.761,2513.7329,2043.5111,2080.0481,2214.553,2048.7087,1977.953,1869.9276,1946.6713,1958.6906,1977.9059,2005.9476,2089.3809,2168.1431,2254.9111,2377.8525,2510.4424,2168.095,2192.189,2094.8555,2177.5713,2170.165,2296.2869,2407.3196,2491.303,2539.2568,2613.4314,2544.0549,2542.2805,2474.8115,2498.947,2406.6848,2340.8616,2392.7231,2471.1399,2431.5186,2480.7361,2180.8931,2239.5469,2334.6396,2441.7268,2510.4255,2627.3396,2791.7134,3056.6145,3349.7717,3327.9609,3334.2295,3275.3877,3264.6858,3341.6895,3441.554,3547.0254,3703.2166,3896.6584,4040.7559,4219.3242,4686.3604,4799.1792,5248.6211,5819.7231,6424.1636,7039.8984,7257.5317,7336.2764,7606.1006,8176.8667,8489.708,8584.6309,7258540.466666667,11671386,3702323,0,2.1582077,2.5361996,-2.2763395
Botswana,BWA,,,,,,,,,,,513.30255,544.94824,577.50323,594.65546,623.2691,588.3717,629.32666,721.64624,786.70581,738.13971,828.08569,1025.5146,1245.3446,1483.1556,1603.3754,1719.98,1870.6572,2047.1887,2213.793,2407.2595,2597.8147,2872.4485,2970.5972,3373.7844,4099.9224,4591.7314,4919.1738,5230.4263,5572.6147,6851.0835,7205.6685,7522.3062,7602.1924,7634.3486,7741.875,8272.1533,9232.8047,9649.9238,9751.7637,10506.664,11064.159,10805.393,12533.854,12158.926,12506.996,14003.922,14303.025,14592.438,14481.412,13197.055,14527.12,15922.705,14734.384,14868.127,16191.077,15194.871,15642.398,16208.257,16123.994,16484.375,1312224.533333333,2332081,516173,0,6.9665308,6.0564957,-3.6155057
Brazil,BRA,1664.8303,1666.4501,1790.9985,1798.0557,1895.4573,1981.2771,1994.5101,2105.5642,2162.4583,2195.6609,2336.8499,2584.3394,2700.0842,2803.2532,2844.5908,2937.4858,2993.1567,3158.6145,3392.4846,3358.197,3726.3831,4081.3701,4466.1968,4952.5728,5260.8262,5355.2227,5679.3491,5674.6348,5764.5215,6014.7754,5876.957,5949.2271,5947.4521,5689.5132,5770.7944,5942.8237,6652.9414,6739.375,6660.645,6684.7251,6406.3853,6870.1934,6943.6846,7364.7383,8154.4922,9343.9248,11043.685,10535.267,9941.9131,9463.2324,9460.3184,9288.2979,9232.4375,9082.9424,9449.6357,9686.668,10455.969,11527.026,12705.692,13057.089,15012.523,16611.414,16416.596,16445.102,16262.959,15077.577,14219.396,14284.612,14522.992,14593.961,144648720.4833333,207455456,72388120,0,3.9205618,3.1534526,-2.099812
